juno_address,cosmos_address,resp_amount,comment
juno10wc2z66z8racdeggprl8kwuspetc52l83deae3,cosmos10wc2z66z8racdeggprl8kwuspetc52l88l6x7d,24,
juno10wsznlsyduk87c3w3saa8vsjhcsak94s6t2rs5,cosmos10wsznlsyduk87c3w3saa8vsjhcsak94svefchg,1,
juno10x5lxnqj7u9v5jy3hkztn9gag65q48n54ul0la,cosmos10x5lxnqj7u9v5jy3hkztn9gag65q48n5rwu5cp,1,
juno10xp68ehap3w3kavat8enpteylya88e6p6w7g3h,cosmos10xp68ehap3w3kavat8enpteylya88e6pvuankt,19,
juno10zw9ytwcvn4mxq48dytx37mstutu96lwauk6su,cosmos10zw9ytwcvn4mxq48dytx37mstutu96lwtw4phq,1,
juno12009qmvdnw8dmvu7k3qx576ux5f5p4z6q08ydz,cosmos12009qmvdnw8dmvu7k3qx576ux5f5p4z6kayl27,50,
juno1200jpac2can55gksd0njva4qujjktc03264pys,cosmos1200jpac2can55gksd0njva4qujjktc03ugk6rv,123,
juno120wkyfh5pggl2z0yfw6nva5mptv9a2vg0nysh5,cosmos120wkyfh5pggl2z0yfw6nva5mptv9a2vgep8tsg,3,
juno12247yy7a2azc9vr256wgrc3rza5vuehdne8ptj,cosmos12247yy7a2azc9vr256wgrc3rza5vuehd9ty6vw,10,
juno123lyx75tgmaqhs58qxtmtd9pmyd990hp7h9q8l,cosmos123lyx75tgmaqhs58qxtmtd9pmyd990hpg9xmqr,4,
juno123qws0a0kv5eh027udjjr54flk7q9vf6w5sd5u,cosmos123qws0a0kv5eh027udjjr54flk7q9vf6cxnknq,15,
juno123u6jvpwku3f2x5mw68rwywgrj7640xj9v9h75,cosmos123u6jvpwku3f2x5mw68rwywgrj7640xjn7xveg,1,
juno124kp99ktauryst7w8peuzztyc026l2ut8um8y3,cosmos124kp99ktauryst7w8peuzztyc026l2ut3wcurd,5,
juno124nkrtw9607ufn7gxhrfyql2fhjww2cwx6jn07,cosmos124nkrtw9607ufn7gxhrfyql2fhjww2cwsg3ggz,53,
juno124yxkyd3hrj04da9y8s3anxdkzfwa0mesv4l7x,cosmos124yxkyd3hrj04da9y8s3anxdkzfwa0mex7kye6,1,
juno1268g3asaue2hzsez2dx2x73vz5mfryhcppq937,cosmos1268g3asaue2hzsez2dx2x73vz5mfryhchnr7kz,2,
juno126ndl0e4x4zwtpzv3ch8xetkml2uy4xst89hs6,cosmos126ndl0e4x4zwtpzv3ch8xetkml2uy4xsa4xvhx,1,
juno126u6y3m9rqpl4gp3klnclws27x3hp2xw084wf2,cosmos126u6y3m9rqpl4gp3klnclws27x3hp2xwe4k4wk,4,
juno126xfrtkj2q5azmud6r8m9h46sxw4vy5xklp80d,cosmos126xfrtkj2q5azmud6r8m9h46sxw4vy5xqdzug3,2,
juno12852uxp5z750rl6c7dpcuwfpga6ppdn67zhtsv,cosmos12852uxp5z750rl6c7dpcuwfpga6ppdn6gs5shs,5,
juno128wszjw242g0ntsre5q3qqwzka5a5w2nvaj98cgfu96puppaen3s8kzytx,cosmos1nxxz937qd6zqxllwplydy6hts97c4amaqj8jxa57nsme3dmckk4s3mqujr,20,"Smart-contract/module source address; RESP routed to the new Reputation SubDAO treasury, not to the contract address."
juno129tpfpdyv65ydyxn6v2cdjghdg437mt6uuhvrn,cosmos129tpfpdyv65ydyxn6v2cdjghdg437mt62w5hy0,7,
juno12adakf8lcn5fehxutfy52c599h70jzss8vp9wr,cosmos12adakf8lcn5fehxutfy52c599h70jzss37z7fl,4,
juno12anc8rffhcjj2xljseph0axegrhl93qjtdpxgn,cosmos12anc8rffhcjj2xljseph0axegrhl93qjalza00,1,
juno12ap9jcxf4544gnyqvss8dpedsnkjt7jpazk25j,cosmos12ap9jcxf4544gnyqvss8dpedsnkjt7jpts43nw,5,
juno12ccpjap5dmtfezcfkrgnkkqznn6l45ak92ns6c,cosmos12ccpjap5dmtfezcfkrgnkkqznn6l45akncstay,5,
juno12culmva7zyrpgwc7w0q7fudsrnq7fse5qkerwr,cosmos12culmva7zyrpgwc7w0q7fudsrnq7fse5ky6cfl,1,
juno12d2dn3q6kdz4enp7k4nuwl9qm6vahxyj7elu85,cosmos12d2dn3q6kdz4enp7k4nuwl9qm6vahxyjgtu8qg,3,
juno12dnx7ww4qnevqvh9t34p5zxhrggj5p0nr6l07k,cosmos12dnx7ww4qnevqvh9t34p5zxhrggj5p0n4gu5e2,1,
juno12dy2cwv5m85ml0vzck2gp2d5x8cxflk78r4lw9,cosmos12dy2cwv5m85ml0vzck2gp2d5x8cxflk733kyfe,14,
juno12e305405f2r6x4vqggu7rmmggsv4wtx9qycyxq,cosmos12e305405f2r6x4vqggu7rmmggsv4wtx9kkmlpu,1,
juno12e5f5hggp0nvhry99hssjlhya9cmuug20us7aq,cosmos12e5f5hggp0nvhry99hssjlhya9cmuug2ewn96u,2,
juno12ec076l4gpv227strjkpsdf6myns3hd9fgqru7,cosmos12ec076l4gpv227strjkpsdf6myns3hd9l6rcmz,1,
juno12efwm2wj9c0dff74vhq6yqwe0wqsuxe5rlfe3pnqsmqjdl06xzxq935rzm,cosmos1nxxz937qd6zqxllwplydy6hts97c4amaqj8jxa57nsme3dmckk4s3mqujr,10,"Smart-contract/module source address; RESP routed to the new Reputation SubDAO treasury, not to the contract address."
juno12el8k6fz3n80mv2czz6apdxplsnpxznakzqrfm,cosmos12el8k6fz3n80mv2czz6apdxplsnpxznaqsrcw8,1,
juno12gdehwwv8eusdzwszpx2yt522cnun74yx7uxsx,cosmos12gdehwwv8eusdzwszpx2yt522cnun74ysvlah6,8,
juno12hw7ms48ln4jawlehvhsl2j5e4gvaq8h0l5tt3,cosmos12hw7ms48ln4jawlehvhsl2j5e4gvaq8hedhsvd,283,
juno12hwz6v0xfhatxelgrq2nyru3euzrnl7gaqe2w3,cosmos12hwz6v0xfhatxelgrq2nyru3euzrnl7gtj63fd,34,
juno12jt5jz70ezsqap2mwug6pchj0kt6ue3lvwvh3a,cosmos12jt5jz70ezsqap2mwug6pchj0kt6ue3l6u0vkp,10,
juno12k79e6a873fymfnchg4jwlv30ct0qq8tqfd5uytgu924k2mz5zxqxgnych,cosmos1nxxz937qd6zqxllwplydy6hts97c4amaqj8jxa57nsme3dmckk4s3mqujr,20,"Smart-contract/module source address; RESP routed to the new Reputation SubDAO treasury, not to the contract address."
juno12kc28zfkeav40p9cxr3m2ufcehvwn86weaz0wa,cosmos12kc28zfkeav40p9cxr3m2ufcehvwn86w00p5fp,50,
juno12kecvnu75l05sl3prxv5rt4xfvxwfv07ttjlfq,cosmos12kecvnu75l05sl3prxv5rt4xfvxwfv07ae3ywu,3,
juno12l7p2uqn2fklvnnkzwxgg9awyadsx3a7ue3lk5,cosmos12l7p2uqn2fklvnnkzwxgg9awyadsx3a72tjy3g,6,
juno12mxwg07t2r02xwlvkvqv3kqp4ep3q9p4uax5xd,cosmos12mxwg07t2r02xwlvkvqv3kqp4ep3q9p42090p3,14,
juno12njds5k8p34l6mwdpeyqtng3up0r3eft6kk6kq,cosmos12njds5k8p34l6mwdpeyqtng3up0r3eftvy4p3u,7,
juno12njlxzl7rztsx5fmgmw96t4hz2u62mectpy36p,cosmos12njlxzl7rztsx5fmgmw96t4hz2u62mecan82aa,23,
juno12nzlm09nv5gpxc0v6f3p70m00jzmfeakmxplml,cosmos12nzlm09nv5gpxc0v6f3p70m00jzmfeakd5zyur,15,
juno12p3gdjgp2ze3amvdy4me7gahpvpyrt7p9j54wk,cosmos12p3gdjgp2ze3amvdy4me7gahpvpyrt7pnqhwf2,53,
juno12qmr7s5s5ada2mhffw3k97en27838ezcwrezxu,cosmos12qmr7s5s5ada2mhffw3k97en27838ezcc36epq,2,
juno12rege0n9rdfhg83lp7rn60ws9ezjfzplxa8d0l,cosmos12rege0n9rdfhg83lp7rn60ws9ezjfzpls0ykgr,25,
juno12rlmpsen59qh0tduwlw0p6vcv09hc9406razrj,cosmos12rlmpsen59qh0tduwlw0p6vcv09hc940v37eyw,10,
juno12s3pvtsk664sa50kw7te2rh735c026l60257mc,cosmos12s3pvtsk664sa50kw7te2rh735c026l6ech9uy,27,
juno12s3tsnzz7ejqm7pww48lf7yxv8tlnnet3vzgvx,cosmos12s3tsnzz7ejqm7pww48lf7yxv8tlnnet87pnt6,3,
juno12sxx3f0knswnxh763kpddwaygt8qfy0j3ph34w,cosmos12sxx3f0knswnxh763kpddwaygt8qfy0j8n52jj,1,
juno12t2q70l6vqf7r44uu9rtg83l6r5z8fdarh7r24,cosmos12t2q70l6vqf7r44uu9rtg83l6r5z8fda49acdf,2,
juno12t3kx5dgfhkmctwyyg32nmn8mpqg3c4y62swpw,cosmos12t3kx5dgfhkmctwyyg32nmn8mpqg3c4yvcn4xj,36,
juno12tdud9qmqzu0vhu5r7t0thvcmjtnx0j3asj5j7,cosmos12tdud9qmqzu0vhu5r7t0thvcmjtnx0j3tz304z,20,
juno12tdulmvjmsmpaqrpshz0emu0h9sqz5x5jkmerz,cosmos12tdulmvjmsmpaqrpshz0emu0h9sqz5x5yyczy7,205,
juno12tphye4z5gas6gk066639n9wes9fnntaws2gej,cosmos12tphye4z5gas6gk066639n9wes9fnntaczfn7w,2,
juno12trcwfd0e82g6904ntgka7y72efjp82hc3ynpx,cosmos12trcwfd0e82g6904ntgka7y72efjp82hwr8gx6,6,
juno12twjddh43qn9z7p8gk7fvctc3q2p04qeuzechj,cosmos12twjddh43qn9z7p8gk7fvctc3q2p04qe2s6rsw,1,
juno12tycshmw6vmn4mhq6m4xqzs6gfg5czgs5d8snr,cosmos12tycshmw6vmn4mhq6m4xqzs6gfg5czgszlyt5l,1,
juno12ugjpkl8a4setvjlwlsvadsqp8akmwyu0ywnpx,cosmos12ugjpkl8a4setvjlwlsvadsqp8akmwyuekdgx6,40,
juno12wwf706maa54sc2nmgmneu8ua05let03zs0fh8,cosmos12wwf706maa54sc2nmgmneu8ua05let035zvjsm,1,
juno12xqh54x0g58hskrktwwdaycylnglc2srkwrj2e,cosmos12xqh54x0g58hskrktwwdaycylnglc2srquqfd9,2,
juno12y4gqmav0sums6896s048a8l5nkrj76xwwfwle,cosmos12y4gqmav0sums6896s048a8l5nkrj76xcu24c9,12,
juno12y4jzxq9svtxamvsvkgdsuk3jfhkg2skfvt4rn,cosmos12y4jzxq9svtxamvsvkgdsuk3jfhkg2skl7gwy0,1,
juno12ylx89vvzky54uv383fqk9hqh0wd80fm3aegzu,cosmos12ylx89vvzky54uv383fqk9hqh0wd80fm806n9q,10,
juno12z8v6h3wtk7udfn6rmwkte22vhxhfptk6s8xeg,cosmos12z8v6h3wtk7udfn6rmwkte22vhxhfptkvzya75,1,
juno12zuzgdelhj2clzq6x7lc7fua485s55phgpn2u6,cosmos12zuzgdelhj2clzq6x7lc7fua485s55ph7ns3mx,7,
juno12zwz5mf5vy74mrd78y8jshm7g9hxr3chkec9rj,cosmos12zwz5mf5vy74mrd78y8jshm7g9hxr3chqtm7yw,3,
juno1308hlxk36vd8mt5sm8zh2m90379vlg2muy5k8v,cosmos1308hlxk36vd8mt5sm8zh2m90379vlg2m2khdqs,1,
juno130p62l99h7672uhe7n9jhc5msfc2vdd8pe69z5,cosmos130p62l99h7672uhe7n9jhc5msfc2vdd8hte79g,45,
juno130zpy78vkmf6gy0sjkg3sm46z2den9vknmhfa2q0e59m59tyq7ssk44l4u,cosmos1nxxz937qd6zqxllwplydy6hts97c4amaqj8jxa57nsme3dmckk4s3mqujr,44,"Smart-contract/module source address; RESP routed to the new Reputation SubDAO treasury, not to the contract address."
juno1323790xwgfyg0qs694s9c5rfzq376vvh0jscfd,cosmos1323790xwgfyg0qs694s9c5rfzq376vvheqnrw3,44,
juno1332n0ydjufkl0agp5mp5tcpyprdlh6yd2wmzyddhssu8j3sx6alse4yqwk,cosmos1nxxz937qd6zqxllwplydy6hts97c4amaqj8jxa57nsme3dmckk4s3mqujr,20,"Smart-contract/module source address; RESP routed to the new Reputation SubDAO treasury, not to the contract address."
